task,epoch,batch,loss,confidence,pain_fired,lability_mean,vairagya_protection_fc1,shraddha,bhaya,vairagya,spanda,viveka_signal,buddhi,chitta,samskara_mean,moha_fraction,retrograde_fired
0,0,0,4.635045,0.014846,0,1.0,0.0,0.451485,0.0,0.285742,0.385039,0.490297,0.004987,0.0,0.000753,0.0,0
0,0,1,4.311214,0.016339,1,2.235743,0.0,0.40797,0.333333,0.272272,0.37307,0.480818,0.006633,0.0,0.001478,0.0,0
0,0,2,3.780349,0.034497,1,2.434463,0.0,0.370623,0.555556,0.260383,0.361152,0.471891,0.006617,0.0,0.002134,0.0,0
0,0,3,3.203547,0.10016,1,2.597322,0.0,0.343576,0.703704,0.252372,0.349468,0.464457,0.005867,0.0,0.002724,0.0,0
0,0,4,2.919684,0.202749,1,2.705374,0.0,0.329494,0.802469,0.249891,0.333774,0.459223,0.004877,0.0,0.003207,0.0,0
0,0,5,2.486894,0.143258,1,2.800556,0.0,0.31087,0.868313,0.244559,0.316628,0.452903,0.003892,0.0,0.003604,0.0,0
0,0,6,2.371636,0.141324,1,2.823044,0.0,0.293915,0.912209,0.239398,0.297248,0.446672,0.00302,0.0,0.003902,0.0,0
0,0,7,2.305728,0.18577,1,2.828488,0.0,0.283101,0.941472,0.236716,0.278033,0.441454,0.002295,0.0,0.004134,0.0,0
0,0,8,2.354859,0.161039,1,2.799101,0.0,0.270895,0.960982,0.232932,0.258461,0.435845,0.001717,0.0,0.004314,0.0,0
0,0,9,2.290237,0.157421,1,2.76477,0.0,0.259547,0.973988,0.229157,0.241046,0.430277,0.001269,0.0,0.004492,0.0,0
0,0,10,2.284428,0.166756,1,2.728596,0.0,0.250268,0.982659,0.226037,0.225064,0.425007,0.000928,0.0,0.00464,0.0,0
0,0,11,2.285335,0.179652,1,2.688794,0.0,0.243207,0.988439,0.223717,0.210129,0.420099,0.000673,0.0,0.004757,0.0,0
0,0,12,2.396182,0.284158,0,2.604354,0.0,0.247302,0.658959,0.22674,0.198181,0.417381,0.021463,0.0,0.004878,0.0,0
0,0,13,2.247237,0.166405,1,2.595012,0.0,0.239212,0.77264,0.223723,0.18667,0.412361,0.015371,0.0,0.005005,0.0,0
0,0,14,2.237607,0.165454,1,2.566195,0.0,0.231836,0.848426,0.220809,0.178145,0.407423,0.010952,0.0,0.005145,0.0,0
0,0,15,2.229943,0.180908,1,2.530674,0.0,0.226743,0.898951,0.218814,0.170055,0.402893,0.007769,0.0,0.005274,0.0,0
0,0,16,2.160394,0.191549,1,2.501779,0.0,0.223224,0.932634,0.217451,0.165145,0.398666,0.005489,0.0,0.005432,0.0,0
0,0,17,2.221366,0.241984,1,2.474347,0.0,0.2251,0.955089,0.218678,0.159851,0.395532,0.003865,0.0,0.005598,0.0,0
0,0,18,2.166595,0.215771,1,2.434496,0.0,0.224167,0.97006,0.218532,0.154443,0.391937,0.002713,0.0,0.005762,0.0,0
0,0,19,2.161882,0.249509,1,2.393842,0.0,0.226701,0.98004,0.220081,0.14914,0.389088,0.001899,0.0,0.005918,0.0,0
