task,epoch,batch,loss,confidence,pain_fired,lability_mean,vairagya_protection_fc1,shraddha,bhaya,vairagya,spanda,viveka_signal,buddhi,chitta,manas,samskara_mean,moha_fraction,retrograde_fired,manas_peak_fraction
0,0,0,4.628369,0.015187,0,1.0,0.0,0.451519,0.0,0.285759,0.322246,0.490304,0.004987,0.0,0.019141,2.6e-05,0.0,0,0.382812
0,0,1,4.284629,0.016905,1,1.050098,0.0,0.408057,0.333333,0.272317,0.260434,0.480836,0.006633,0.0,0.038454,4.9e-05,0.0,0,0.388184
0,0,2,3.720437,0.03787,1,1.103442,0.0,0.371039,0.555556,0.260594,0.211472,0.471976,0.006617,0.0,0.057329,6.9e-05,0.0,0,0.381348
0,0,3,3.142613,0.113392,1,1.146879,0.0,0.345274,0.703704,0.253234,0.17201,0.464805,0.005867,0.0,0.076891,7.7e-05,0.0,0,0.396973
0,0,4,2.892053,0.216284,1,1.177364,0.0,0.332375,0.802469,0.251387,0.139951,0.459834,0.004877,0.0,0.097259,7.5e-05,0.0,0,0.415039
0,0,5,2.459133,0.143042,1,1.18185,0.0,0.313442,0.868313,0.245969,0.112938,0.453499,0.003892,0.0,0.118159,5.8e-05,0.0,0,0.427734
0,0,6,2.370857,0.144516,1,1.207481,0.0,0.296549,0.912209,0.240897,0.092792,0.447319,0.00302,0.0,0.139517,6.4e-05,0.0,0,0.438965
0,0,7,2.310038,0.18503,1,1.218652,0.0,0.285397,0.941472,0.238103,0.075893,0.442073,0.002295,0.0,0.161036,6.2e-05,0.0,0,0.444336
0,0,8,2.355758,0.163866,1,1.228403,0.0,0.273244,0.960982,0.234392,0.061984,0.436509,0.001717,0.0,0.18296,5.8e-05,0.0,0,0.45459
0,0,9,2.290283,0.158818,1,1.2425,0.0,0.261802,0.973988,0.230613,0.051541,0.430955,0.001269,0.0,0.204921,6.2e-05,0.0,0,0.45752
0,0,10,2.271442,0.166246,1,1.241246,0.0,0.252246,0.982659,0.227395,0.0426,0.425661,0.000928,0.0,0.226992,6.2e-05,0.0,0,0.461914
0,0,11,2.286762,0.176296,1,1.242615,0.0,0.244651,0.988439,0.22484,0.035642,0.420674,0.000673,0.0,0.249368,6.5e-05,0.0,0,0.470215
0,0,12,2.396638,0.283888,0,1.230484,0.0,0.248575,0.658959,0.227792,0.029881,0.417938,0.021463,0.0,0.271608,6.6e-05,0.0,0,0.469727
0,0,13,2.237569,0.16507,1,1.227945,0.0,0.240224,0.77264,0.224656,0.024881,0.412881,0.015371,0.0,0.293956,6.4e-05,0.0,0,0.474121
